,scientific_name,park_name,total_observations,category,common_names,conservation_status
63,Acer glabrum var. torreyi,Yosemite National Park,160,Vascular Plant,Torrey's Maple,
64,Acer leucoderme,Bryce National Park,125,Vascular Plant,Chalk Maple,
65,Acer leucoderme,Great Smoky Mountains National Park,107,Vascular Plant,Chalk Maple,
66,Acer leucoderme,Yellowstone National Park,256,Vascular Plant,Chalk Maple,
67,Acer leucoderme,Yosemite National Park,140,Vascular Plant,Chalk Maple,
68,Acer macrophyllum,Bryce National Park,105,Vascular Plant,Bigleaf Maple,
69,Acer macrophyllum,Great Smoky Mountains National Park,33,Vascular Plant,Bigleaf Maple,
70,Acer macrophyllum,Yellowstone National Park,252,Vascular Plant,Bigleaf Maple,
71,Acer macrophyllum,Yosemite National Park,134,Vascular Plant,Bigleaf Maple,
72,Acer negundo,Bryce National Park,92,Vascular Plant,"Boxelder, Box-Elder",
73,Acer negundo,Great Smoky Mountains National Park,72,Vascular Plant,"Boxelder, Box-Elder",
74,Acer negundo,Yellowstone National Park,257,Vascular Plant,"Boxelder, Box-Elder",
75,Acer negundo,Yosemite National Park,179,Vascular Plant,"Boxelder, Box-Elder",
76,Acer negundo var. violaceum,Bryce National Park,91,Vascular Plant,Boxelder,
77,Acer negundo var. violaceum,Great Smoky Mountains National Park,84,Vascular Plant,Boxelder,
78,Acer negundo var. violaceum,Yellowstone National Park,222,Vascular Plant,Boxelder,
79,Acer negundo var. violaceum,Yosemite National Park,164,Vascular Plant,Boxelder,
80,Acer nigrum,Bryce National Park,110,Vascular Plant,Black Maple,
81,Acer nigrum,Great Smoky Mountains National Park,86,Vascular Plant,Black Maple,
82,Acer nigrum,Yellowstone National Park,258,Vascular Plant,Black Maple,
83,Acer nigrum,Yosemite National Park,156,Vascular Plant,Black Maple,
84,Acer pensylvanicum,Bryce National Park,91,Vascular Plant,"Striped Maple, Striped Maple, Moosewood",
85,Acer pensylvanicum,Great Smoky Mountains National Park,96,Vascular Plant,"Striped Maple, Striped Maple, Moosewood",
86,Acer pensylvanicum,Yellowstone National Park,284,Vascular Plant,"Striped Maple, Striped Maple, Moosewood",
87,Acer pensylvanicum,Yosemite National Park,134,Vascular Plant,"Striped Maple, Striped Maple, Moosewood",
88,Acer platanoides,Bryce National Park,83,Vascular Plant,Norway Maple,
89,Acer platanoides,Great Smoky Mountains National Park,53,Vascular Plant,Norway Maple,
90,Acer platanoides,Yellowstone National Park,243,Vascular Plant,Norway Maple,
91,Acer platanoides,Yosemite National Park,189,Vascular Plant,Norway Maple,
92,Acer rubrum var. rubrum,Bryce National Park,114,Vascular Plant,Red Maple,
93,Acer rubrum var. rubrum,Great Smoky Mountains National Park,67,Vascular Plant,Red Maple,
94,Acer rubrum var. rubrum,Yellowstone National Park,274,Vascular Plant,Red Maple,
95,Acer rubrum var. rubrum,Yosemite National Park,147,Vascular Plant,Red Maple,
96,Acer rubrum var. trilobum,Bryce National Park,99,Vascular Plant,Trident Maple,
97,Acer rubrum var. trilobum,Great Smoky Mountains National Park,105,Vascular Plant,Trident Maple,
98,Acer rubrum var. trilobum,Yellowstone National Park,251,Vascular Plant,Trident Maple,
99,Acer rubrum var. trilobum,Yosemite National Park,110,Vascular Plant,Trident Maple,
100,Acer saccharinum,Bryce National Park,121,Vascular Plant,Silver Maple,
101,Acer saccharinum,Great Smoky Mountains National Park,86,Vascular Plant,Silver Maple,
102,Acer saccharinum,Yellowstone National Park,229,Vascular Plant,Silver Maple,
103,Acer saccharinum,Yosemite National Park,167,Vascular Plant,Silver Maple,
104,Acer saccharum,Bryce National Park,124,Vascular Plant,Sugar Maple,
105,Acer saccharum,Great Smoky Mountains National Park,59,Vascular Plant,Sugar Maple,
106,Acer saccharum,Yellowstone National Park,236,Vascular Plant,Sugar Maple,
107,Acer saccharum,Yosemite National Park,116,Vascular Plant,Sugar Maple,
108,Acer spicatum,Bryce National Park,89,Vascular Plant,Mountain Maple,
109,Acer spicatum,Great Smoky Mountains National Park,82,Vascular Plant,Mountain Maple,
110,Acer spicatum,Yellowstone National Park,263,Vascular Plant,Mountain Maple,
111,Acer spicatum,Yosemite National Park,143,Vascular Plant,Mountain Maple,
112,Achillea millefolium,Bryce National Park,99,Vascular Plant,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",
113,Achillea millefolium,Great Smoky Mountains National Park,45,Vascular Plant,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",
114,Achillea millefolium,Yellowstone National Park,270,Vascular Plant,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",
115,Achillea millefolium,Yosemite National Park,168,Vascular Plant,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",
116,Achillea millefolium var. occidentalis,Bryce National Park,119,Vascular Plant,Yarrow,
117,Achillea millefolium var. occidentalis,Great Smoky Mountains National Park,87,Vascular Plant,Yarrow,
118,Achillea millefolium var. occidentalis,Yellowstone National Park,277,Vascular Plant,Yarrow,
119,Achillea millefolium var. occidentalis,Yosemite National Park,131,Vascular Plant,Yarrow,
120,Achnatherum X bloomeri,Bryce National Park,91,Vascular Plant,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",
121,Achnatherum X bloomeri,Great Smoky Mountains National Park,82,Vascular Plant,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",
122,Achnatherum X bloomeri,Yellowstone National Park,261,Vascular Plant,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",
123,Achnatherum X bloomeri,Yosemite National Park,155,Vascular Plant,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",
124,Achnatherum contractum,Bryce National Park,122,Vascular Plant,Contracted Ricegrass,Species of Concern
125,Achnatherum contractum,Great Smoky Mountains National Park,43,Vascular Plant,Contracted Ricegrass,Species of Concern
126,Achnatherum contractum,Yellowstone National Park,219,Vascular Plant,Contracted Ricegrass,Species of Concern
127,Achnatherum contractum,Yosemite National Park,165,Vascular Plant,Contracted Ricegrass,Species of Concern
128,Achnatherum hymenoides,Bryce National Park,90,Vascular Plant,Indian Ricegrass,
129,Achnatherum hymenoides,Great Smoky Mountains National Park,88,Vascular Plant,Indian Ricegrass,
130,Achnatherum hymenoides,Yellowstone National Park,233,Vascular Plant,Indian Ricegrass,
131,Achnatherum hymenoides,Yosemite National Park,156,Vascular Plant,Indian Ricegrass,
132,Achnatherum latiglume,Bryce National Park,92,Vascular Plant,Sierra Needlegrass,
133,Achnatherum latiglume,Great Smoky Mountains National Park,76,Vascular Plant,Sierra Needlegrass,
134,Achnatherum latiglume,Yellowstone National Park,233,Vascular Plant,Sierra Needlegrass,
135,Achnatherum latiglume,Yosemite National Park,137,Vascular Plant,Sierra Needlegrass,
136,Achnatherum lemmonii,Bryce National Park,87,Vascular Plant,Lemmon's Needlegrass,
137,Achnatherum lemmonii,Great Smoky Mountains National Park,100,Vascular Plant,Lemmon's Needlegrass,
138,Achnatherum lemmonii,Yellowstone National Park,245,Vascular Plant,Lemmon's Needlegrass,
139,Achnatherum lemmonii,Yosemite National Park,149,Vascular Plant,Lemmon's Needlegrass,
140,Achnatherum lettermanii,Bryce National Park,63,Vascular Plant,"Letterman Needlegrass, Letterman's Needlegrass",
141,Achnatherum lettermanii,Great Smoky Mountains National Park,60,Vascular Plant,"Letterman Needlegrass, Letterman's Needlegrass",
142,Achnatherum lettermanii,Yellowstone National Park,252,Vascular Plant,"Letterman Needlegrass, Letterman's Needlegrass",
143,Achnatherum lettermanii,Yosemite National Park,129,Vascular Plant,"Letterman Needlegrass, Letterman's Needlegrass",
144,Achnatherum nelsonii ssp. dorei,Bryce National Park,101,Vascular Plant,"Columbia Needlegrass, Dore's Needlegrass",
145,Achnatherum nelsonii ssp. dorei,Great Smoky Mountains National Park,63,Vascular Plant,"Columbia Needlegrass, Dore's Needlegrass",
146,Achnatherum nelsonii ssp. dorei,Yellowstone National Park,221,Vascular Plant,"Columbia Needlegrass, Dore's Needlegrass",
147,Achnatherum nelsonii ssp. dorei,Yosemite National Park,151,Vascular Plant,"Columbia Needlegrass, Dore's Needlegrass",
148,Achnatherum nevadense,Bryce National Park,74,Vascular Plant,Nevada Needlegrass,
149,Achnatherum nevadense,Great Smoky Mountains National Park,36,Vascular Plant,Nevada Needlegrass,
150,Achnatherum nevadense,Yellowstone National Park,272,Vascular Plant,Nevada Needlegrass,
151,Achnatherum nevadense,Yosemite National Park,149,Vascular Plant,Nevada Needlegrass,
152,Achnatherum occidentale,Bryce National Park,106,Vascular Plant,Western Needlegrass,
153,Achnatherum occidentale,Great Smoky Mountains National Park,73,Vascular Plant,Western Needlegrass,
154,Achnatherum occidentale,Yellowstone National Park,258,Vascular Plant,Western Needlegrass,
155,Achnatherum occidentale,Yosemite National Park,171,Vascular Plant,Western Needlegrass,
156,Achnatherum occidentale ssp. californicum,Bryce National Park,77,Vascular Plant,California Needlegrass,
157,Achnatherum occidentale ssp. californicum,Great Smoky Mountains National Park,93,Vascular Plant,California Needlegrass,
158,Achnatherum occidentale ssp. californicum,Yellowstone National Park,235,Vascular Plant,California Needlegrass,
159,Achnatherum occidentale ssp. californicum,Yosemite National Park,174,Vascular Plant,California Needlegrass,
160,Achnatherum occidentale ssp. occidentale,Bryce National Park,122,Vascular Plant,"Western Needle Grass, Western Needlegrass",
161,Achnatherum occidentale ssp. occidentale,Great Smoky Mountains National Park,68,Vascular Plant,"Western Needle Grass, Western Needlegrass",
162,Achnatherum occidentale ssp. occidentale,Yellowstone National Park,233,Vascular Plant,"Western Needle Grass, Western Needlegrass",
163,Achnatherum occidentale ssp. occidentale,Yosemite National Park,148,Vascular Plant,"Western Needle Grass, Western Needlegrass",
164,Achnatherum occidentale ssp. pubescens,Bryce National Park,58,Vascular Plant,"Elmer's Needlegrass, Pubescent Western Needlegrass",
165,Achnatherum occidentale ssp. pubescens,Great Smoky Mountains National Park,57,Vascular Plant,"Elmer's Needlegrass, Pubescent Western Needlegrass",
166,Achnatherum occidentale ssp. pubescens,Yellowstone National Park,202,Vascular Plant,"Elmer's Needlegrass, Pubescent Western Needlegrass",
167,Achnatherum occidentale ssp. pubescens,Yosemite National Park,148,Vascular Plant,"Elmer's Needlegrass, Pubescent Western Needlegrass",
168,Achnatherum pinetorum,Bryce National Park,101,Vascular Plant,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",
169,Achnatherum pinetorum,Great Smoky Mountains National Park,75,Vascular Plant,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",
170,Achnatherum pinetorum,Yellowstone National Park,288,Vascular Plant,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",
171,Achnatherum pinetorum,Yosemite National Park,129,Vascular Plant,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",
172,Achnatherum richardsonii,Bryce National Park,76,Vascular Plant,"Richardson Needlegrass, Richardson's Needlegrass",
173,Achnatherum richardsonii,Great Smoky Mountains National Park,96,Vascular Plant,"Richardson Needlegrass, Richardson's Needlegrass",
174,Achnatherum richardsonii,Yellowstone National Park,255,Vascular Plant,"Richardson Needlegrass, Richardson's Needlegrass",
175,Achnatherum richardsonii,Yosemite National Park,143,Vascular Plant,"Richardson Needlegrass, Richardson's Needlegrass",
176,Achnatherum thurberianum,Bryce National Park,71,Vascular Plant,Thurber's Needlegrass,
177,Achnatherum thurberianum,Great Smoky Mountains National Park,73,Vascular Plant,Thurber's Needlegrass,
178,Achnatherum thurberianum,Yellowstone National Park,251,Vascular Plant,Thurber's Needlegrass,
179,Achnatherum thurberianum,Yosemite National Park,148,Vascular Plant,Thurber's Needlegrass,
180,Aconitum columbianum,Bryce National Park,63,Vascular Plant,Columbian Monkshood,
181,Aconitum columbianum,Great Smoky Mountains National Park,77,Vascular Plant,Columbian Monkshood,
182,Aconitum columbianum,Yellowstone National Park,242,Vascular Plant,Columbian Monkshood,
183,Aconitum columbianum,Yosemite National Park,136,Vascular Plant,Columbian Monkshood,
184,Aconitum columbianum ssp. columbianum,Bryce National Park,112,Vascular Plant,Columbian Monkshood,
185,Aconitum columbianum ssp. columbianum,Great Smoky Mountains National Park,91,Vascular Plant,Columbian Monkshood,
186,Aconitum columbianum ssp. columbianum,Yellowstone National Park,242,Vascular Plant,Columbian Monkshood,
187,Aconitum columbianum ssp. columbianum,Yosemite National Park,162,Vascular Plant,Columbian Monkshood,
188,Aconitum uncinatum,Bryce National Park,115,Vascular Plant,"Monk's Hood, Blue Monkshood",
189,Aconitum uncinatum,Great Smoky Mountains National Park,77,Vascular Plant,"Monk's Hood, Blue Monkshood",
190,Aconitum uncinatum,Yellowstone National Park,248,Vascular Plant,"Monk's Hood, Blue Monkshood",
191,Aconitum uncinatum,Yosemite National Park,142,Vascular Plant,"Monk's Hood, Blue Monkshood",
192,Acorus calamus,Bryce National Park,121,Vascular Plant,Sweetflag,
193,Acorus calamus,Great Smoky Mountains National Park,63,Vascular Plant,Sweetflag,
194,Acorus calamus,Yellowstone National Park,232,Vascular Plant,Sweetflag,
195,Acorus calamus,Yosemite National Park,178,Vascular Plant,Sweetflag,
196,Acris crepitans crepitans,Bryce National Park,112,Amphibian,Northern Cricket Frog,
197,Acris crepitans crepitans,Great Smoky Mountains National Park,59,Amphibian,Northern Cricket Frog,
198,Acris crepitans crepitans,Yellowstone National Park,228,Amphibian,Northern Cricket Frog,
199,Acris crepitans crepitans,Yosemite National Park,132,Amphibian,Northern Cricket Frog,
200,Acrobolbus ciliatus,Bryce National Park,114,Nonvascular Plant,Acrobolbus,
201,Acrobolbus ciliatus,Great Smoky Mountains National Park,77,Nonvascular Plant,Acrobolbus,
202,Acrobolbus ciliatus,Yellowstone National Park,233,Nonvascular Plant,Acrobolbus,
203,Acrobolbus ciliatus,Yosemite National Park,131,Nonvascular Plant,Acrobolbus,
204,Actaea pachypoda,Bryce National Park,92,Vascular Plant,White Baneberry,
205,Actaea pachypoda,Great Smoky Mountains National Park,78,Vascular Plant,White Baneberry,
206,Actaea pachypoda,Yellowstone National Park,225,Vascular Plant,White Baneberry,
207,Actaea pachypoda,Yosemite National Park,112,Vascular Plant,White Baneberry,
208,Actaea rubra,Bryce National Park,141,Vascular Plant,"Red Baneberry, Western Baneberry",
209,Actaea rubra,Great Smoky Mountains National Park,77,Vascular Plant,"Red Baneberry, Western Baneberry",
210,Actaea rubra,Yellowstone National Park,219,Vascular Plant,"Red Baneberry, Western Baneberry",
211,Actaea rubra,Yosemite National Park,151,Vascular Plant,"Red Baneberry, Western Baneberry",
212,Actitis macularia,Bryce National Park,91,Bird,Spotted Sandpiper,
213,Actitis macularia,Great Smoky Mountains National Park,66,Bird,Spotted Sandpiper,
214,Actitis macularia,Yellowstone National Park,265,Bird,Spotted Sandpiper,
215,Actitis macularia,Yosemite National Park,156,Bird,Spotted Sandpiper,
216,Actitis macularius,Bryce National Park,86,Bird,Spotted Sandpiper,
217,Actitis macularius,Great Smoky Mountains National Park,87,Bird,Spotted Sandpiper,
218,Actitis macularius,Yellowstone National Park,290,Bird,Spotted Sandpiper,
219,Actitis macularius,Yosemite National Park,181,Bird,Spotted Sandpiper,
220,Adenocaulon bicolor,Bryce National Park,123,Vascular Plant,American Trailplant,
221,Adenocaulon bicolor,Great Smoky Mountains National Park,97,Vascular Plant,American Trailplant,
222,Adenocaulon bicolor,Yellowstone National Park,210,Vascular Plant,American Trailplant,
223,Adenocaulon bicolor,Yosemite National Park,130,Vascular Plant,American Trailplant,
224,Adenostoma fasciculatum,Bryce National Park,128,Vascular Plant,Chamise,
225,Adenostoma fasciculatum,Great Smoky Mountains National Park,57,Vascular Plant,Chamise,
226,Adenostoma fasciculatum,Yellowstone National Park,245,Vascular Plant,Chamise,
227,Adenostoma fasciculatum,Yosemite National Park,148,Vascular Plant,Chamise,
228,Adiantum aleuticum,Bryce National Park,114,Vascular Plant,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",
229,Adiantum aleuticum,Great Smoky Mountains National Park,112,Vascular Plant,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",
230,Adiantum aleuticum,Yellowstone National Park,231,Vascular Plant,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",
231,Adiantum aleuticum,Yosemite National Park,152,Vascular Plant,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",
232,Adiantum jordanii,Bryce National Park,93,Vascular Plant,"California Maidenhair, California Maidenhair Fern",
233,Adiantum jordanii,Great Smoky Mountains National Park,62,Vascular Plant,"California Maidenhair, California Maidenhair Fern",
234,Adiantum jordanii,Yellowstone National Park,249,Vascular Plant,"California Maidenhair, California Maidenhair Fern",
235,Adiantum jordanii,Yosemite National Park,155,Vascular Plant,"California Maidenhair, California Maidenhair Fern",
236,Adiantum pedatum,Bryce National Park,94,Vascular Plant,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",
237,Adiantum pedatum,Great Smoky Mountains National Park,110,Vascular Plant,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",
238,Adiantum pedatum,Yellowstone National Park,241,Vascular Plant,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",
239,Adiantum pedatum,Yosemite National Park,127,Vascular Plant,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",
240,Adlumia fungosa,Bryce National Park,69,Vascular Plant,Climbing Fumitory,
241,Adlumia fungosa,Great Smoky Mountains National Park,53,Vascular Plant,Climbing Fumitory,
242,Adlumia fungosa,Yellowstone National Park,246,Vascular Plant,Climbing Fumitory,
243,Adlumia fungosa,Yosemite National Park,144,Vascular Plant,Climbing Fumitory,
244,Adoxa moschatellina,Bryce National Park,121,Vascular Plant,Muskroot,
245,Adoxa moschatellina,Great Smoky Mountains National Park,86,Vascular Plant,Muskroot,
246,Adoxa moschatellina,Yellowstone National Park,250,Vascular Plant,Muskroot,
247,Adoxa moschatellina,Yosemite National Park,155,Vascular Plant,Muskroot,
248,Aechmophorus clarkii,Bryce National Park,99,Bird,Clark's Grebe,
249,Aechmophorus clarkii,Great Smoky Mountains National Park,68,Bird,Clark's Grebe,
250,Aechmophorus clarkii,Yellowstone National Park,244,Bird,Clark's Grebe,
251,Aechmophorus clarkii,Yosemite National Park,166,Bird,Clark's Grebe,
252,Aechmophorus occidentalis,Bryce National Park,80,Bird,Western Grebe,Species of Concern
253,Aechmophorus occidentalis,Great Smoky Mountains National Park,64,Bird,Western Grebe,Species of Concern
254,Aechmophorus occidentalis,Yellowstone National Park,233,Bird,Western Grebe,Species of Concern
255,Aechmophorus occidentalis,Yosemite National Park,132,Bird,Western Grebe,Species of Concern
256,Aegilops cylindrica,Bryce National Park,76,Vascular Plant,Jointed Goatgrass,
257,Aegilops cylindrica,Great Smoky Mountains National Park,66,Vascular Plant,Jointed Goatgrass,
258,Aegilops cylindrica,Yellowstone National Park,245,Vascular Plant,Jointed Goatgrass,
259,Aegilops cylindrica,Yosemite National Park,149,Vascular Plant,Jointed Goatgrass,
260,Aegolius,Bryce National Park,95,Bird,Saw-Whet Owls,
261,Aegolius,Great Smoky Mountains National Park,42,Bird,Saw-Whet Owls,
262,Aegolius,Yellowstone National Park,263,Bird,Saw-Whet Owls,
263,Aegolius,Yosemite National Park,191,Bird,Saw-Whet Owls,
264,Aegolius acadicus,Bryce National Park,131,Bird,Northern Saw-Whet Owl,
265,Aegolius acadicus,Great Smoky Mountains National Park,86,Bird,Northern Saw-Whet Owl,
266,Aegolius acadicus,Yellowstone National Park,234,Bird,Northern Saw-Whet Owl,
267,Aegolius acadicus,Yosemite National Park,91,Bird,Northern Saw-Whet Owl,
268,Aegolius funereus,Bryce National Park,73,Bird,Boreal Owl,
269,Aegolius funereus,Great Smoky Mountains National Park,82,Bird,Boreal Owl,
270,Aegolius funereus,Yellowstone National Park,260,Bird,Boreal Owl,
271,Aegolius funereus,Yosemite National Park,167,Bird,Boreal Owl,
272,Aegopodium podagraria,Bryce National Park,112,Vascular Plant,"Bishops Goutweed, Old Man's Beard",
273,Aegopodium podagraria,Great Smoky Mountains National Park,52,Vascular Plant,"Bishops Goutweed, Old Man's Beard",
274,Aegopodium podagraria,Yellowstone National Park,249,Vascular Plant,"Bishops Goutweed, Old Man's Beard",
275,Aegopodium podagraria,Yosemite National Park,198,Vascular Plant,"Bishops Goutweed, Old Man's Beard",
276,Aeronautes saxatalis,Bryce National Park,95,Bird,White-Throated Swift,
277,Aeronautes saxatalis,Great Smoky Mountains National Park,77,Bird,White-Throated Swift,
278,Aeronautes saxatalis,Yellowstone National Park,264,Bird,White-Throated Swift,
279,Aeronautes saxatalis,Yosemite National Park,178,Bird,White-Throated Swift,
280,Aesculus californica,Bryce National Park,108,Vascular Plant,California Buckeye,
